('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163976 function calls (159127 primitive calls) in 1.233 seconds

   Ordered by: call count

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
16332/15268    0.003    0.000    0.003    0.000 {built-in method builtins.len}
    13380    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
11686/11678    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
     8663    0.001    0.000    0.001    0.000 _parser.py:239(__next)
     6733    0.002    0.000    0.003    0.000 _parser.py:260(get)
     6132    0.002    0.000    0.003    0.000 _parser.py:167(__getitem__)
     4738    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
     4171    0.001    0.000    0.001    0.000 _parser.py:255(match)
     3479    0.000    0.000    0.000    0.000 {method 'startswith' of 'str' objects}
2944/2876    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2331    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:491(_verbose_message)
     2285    0.001    0.000    0.001    0.000 _parser.py:163(__len__)
     2204    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
     2204    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     2065    0.001    0.000    0.001    0.000 {built-in method builtins.getattr}
     1942    0.000    0.000    0.000    0.000 {built-in method builtins.min}
     1568    0.000    0.000    0.000    0.000 {method 'find' of 'bytearray' objects}
     1471    0.000    0.000    0.000    0.000 {method 'get' of 'dict' objects}
     1469    0.000    0.000    0.001    0.000 _parser.py:292(tell)
     1405    0.000    0.000    0.000    0.000 {built-in method builtins.hasattr}
     1386    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
     1340    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
     1304    0.000    0.000    0.001    0.000 _parser.py:175(append)
     1055    0.000    0.000    0.000    0.000 _parser.py:112(__init__)
      994    0.000    0.000    0.000    0.000 {method 'isupper' of 'str' objects}
      992    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
  969/178    0.001    0.000    0.001    0.000 _parser.py:177(getwidth)
      963    0.000    0.000    0.000    0.000 {built-in method _imp.acquire_lock}
      963    0.000    0.000    0.000    0.000 {built-in method _imp.release_lock}
   874/80    0.003    0.000    0.010    0.000 _compiler.py:37(_compile)
      836    0.005    0.000    0.005    0.000 {built-in method posix.stat}
      826    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:145(_path_stat)
      771    0.000    0.000    0.001    0.000 {built-in method builtins.max}
      672    0.000    0.000    0.000    0.000 ssl.py:1117(_checkClosed)
  609/583    0.007    0.000    0.013    0.000 {built-in method __new__ of type object at 0x104f57388}
      592    0.000    0.000    0.000    0.000 response.py:392(__len__)
      568    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:139(<genexpr>)
      563    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1222(__enter__)
      563    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1226(__exit__)
      546    0.000    0.000    0.000    0.000 _parser.py:171(__setitem__)
      525    0.000    0.000    0.000    0.000 {method 'endswith' of 'str' objects}
      513    0.000    0.000    0.000    0.000 {method 'get' of 'mappingproxy' objects}
      513    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1501(_path_importer_cache)
      493    0.000    0.000    0.001    0.000 _compiler.py:401(_simple)
   487/85    0.007    0.000    0.018    0.000 _parser.py:511(_parse)
      473    0.000    0.000    0.000    0.000 {built-in method posix.fspath}
