('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163977 function calls (159128 primitive calls) in 6.027 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    5.001    5.001    5.001    5.001 {built-in method time.sleep}
      334    0.609    0.002    0.609    0.002 {method 'read' of '_ssl._SSLSocket' objects}
    24/21    0.049    0.002    0.050    0.002 {built-in method _imp.create_dynamic}
        1    0.040    0.040    0.040    0.040 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
        1    0.037    0.037    0.037    0.037 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.035    0.035    0.035    0.035 {method 'connect' of '_socket.socket' objects}
      181    0.026    0.000    0.172    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.024    0.024    0.024    0.024 {built-in method _socket.getaddrinfo}
      142    0.016    0.000    0.016    0.000 {built-in method _io.open_code}
      289    0.014    0.000    0.014    0.000 {method 'decompress' of 'zlib.Decompress' objects}
      142    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
        3    0.010    0.003    0.010    0.003 {built-in method _scproxy._get_proxy_settings}
   487/85    0.007    0.000    0.018    0.000 _parser.py:511(_parse)
  449/445    0.007    0.000    0.023    0.000 {built-in method builtins.__build_class__}
  609/583    0.006    0.000    0.012    0.000 {built-in method __new__ of type object at 0x104e8f388}
        2    0.005    0.003    0.005    0.003 {method 'findall' of 're.Pattern' objects}
        4    0.005    0.001    0.005    0.001 {built-in method _ssl.txt2obj}
      836    0.005    0.000    0.005    0.000 {built-in method posix.stat}
   874/80    0.003    0.000    0.010    0.000 _compiler.py:37(_compile)
      291    0.003    0.000    0.017    0.000 response.py:137(decompress)
       24    0.003    0.000    0.003    0.000 {built-in method _imp.exec_dynamic}
16332/15268    0.003    0.000    0.003    0.000 {built-in method builtins.len}
      428    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
      428    0.002    0.000    0.004    0.000 _compiler.py:241(_optimize_charset)
       18    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
       85    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
     2204    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     6132    0.002    0.000    0.003    0.000 _parser.py:167(__getitem__)
        1    0.002    0.002    0.002    0.002 models.py:909(text)
     6733    0.002    0.000    0.003    0.000 _parser.py:260(get)
    13380    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
