('Total Revenue', '1,765,485,215', '1,765,485,214', '1,765,485,213', '1,765,485,212', '1,765,485,209')
         163976 function calls (159127 primitive calls) in 0.979 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      334    0.597    0.002    0.597    0.002 {method 'read' of '_ssl._SSLSocket' objects}
    24/21    0.051    0.002    0.052    0.002 {built-in method _imp.create_dynamic}
        1    0.037    0.037    0.037    0.037 {method 'do_handshake' of '_ssl._SSLSocket' objects}
        1    0.034    0.034    0.034    0.034 {method 'connect' of '_socket.socket' objects}
        1    0.029    0.029    0.029    0.029 {method 'load_verify_locations' of '_ssl._SSLContext' objects}
      181    0.025    0.000    0.172    0.001 {method 'read' of '_io.BufferedReader' objects}
        1    0.018    0.018    0.018    0.018 {built-in method _socket.getaddrinfo}
      142    0.015    0.000    0.015    0.000 {built-in method _io.open_code}
      142    0.012    0.000    0.012    0.000 {built-in method marshal.loads}
      289    0.012    0.000    0.012    0.000 {method 'decompress' of 'zlib.Decompress' objects}
   487/85    0.007    0.000    0.018    0.000 _parser.py:511(_parse)
  449/445    0.007    0.000    0.023    0.000 {built-in method builtins.__build_class__}
  609/583    0.006    0.000    0.012    0.000 {built-in method __new__ of type object at 0x1047f7388}
        4    0.006    0.001    0.006    0.001 {built-in method _ssl.txt2obj}
        3    0.005    0.002    0.005    0.002 {built-in method _scproxy._get_proxy_settings}
      836    0.004    0.000    0.004    0.000 {built-in method posix.stat}
       24    0.004    0.000    0.004    0.000 {built-in method _imp.exec_dynamic}
        2    0.004    0.002    0.004    0.002 {method 'findall' of 're.Pattern' objects}
   874/80    0.003    0.000    0.010    0.000 _compiler.py:37(_compile)
16332/15268    0.003    0.000    0.003    0.000 {built-in method builtins.len}
       18    0.002    0.000    0.002    0.000 {built-in method posix.listdir}
      428    0.002    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:1625(find_spec)
      291    0.002    0.000    0.014    0.000 response.py:137(decompress)
      428    0.002    0.000    0.004    0.000 _compiler.py:241(_optimize_charset)
     2204    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:131(_path_join)
     6132    0.002    0.000    0.003    0.000 _parser.py:167(__getitem__)
     6733    0.002    0.000    0.003    0.000 _parser.py:260(get)
    13380    0.002    0.000    0.002    0.000 {method 'append' of 'list' objects}
       85    0.002    0.000    0.002    0.000 {built-in method posix.getcwd}
11686/11678    0.002    0.000    0.002    0.000 {built-in method builtins.isinstance}
        1    0.002    0.002    0.771    0.771 financial.py:39(main)
        1    0.002    0.002    0.002    0.002 models.py:909(text)
       16    0.001    0.000    0.004    0.000 enum.py:1753(convert_class)
     8663    0.001    0.000    0.001    0.000 _parser.py:239(__next)
   366/80    0.001    0.000    0.019    0.000 _parser.py:451(_parse_sub)
      253    0.001    0.000    0.169    0.001 response.py:1061(read)
        1    0.001    0.001    0.001    0.001 {built-in method zlib.decompressobj}
      142    0.001    0.000    0.013    0.000 <frozen importlib._bootstrap_external>:783(_compile_bytecode)
  969/178    0.001    0.000    0.001    0.000 _parser.py:177(getwidth)
       16    0.001    0.000    0.001    0.000 {built-in method builtins.eval}
        1    0.001    0.001    0.001    0.001 ssl.py:1361(_real_close)
      210    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:304(acquire)
      190    0.001    0.000    0.018    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
2944/2876    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
      142    0.001    0.000    0.057    0.000 <frozen importlib._bootstrap_external>:1094(get_code)
    192/2    0.001    0.000    0.208    0.104 <frozen importlib._bootstrap>:1349(_find_and_load)
     4171    0.001    0.000    0.001    0.000 _parser.py:255(match)
      334    0.001    0.000    0.598    0.002 ssl.py:1289(recv_into)
    144/1    0.001    0.000    0.979    0.979 {built-in method builtins.exec}
       19    0.001    0.000    0.171    0.009 {method 'join' of 'bytes' objects}
     4738    0.001    0.000    0.001    0.000 {method 'rstrip' of 'str' objects}
       16    0.001    0.000    0.002    0.000 __init__.py:358(namedtuple)
      334    0.001    0.000    0.599    0.002 socket.py:706(readinto)
      210    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      284    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:513(cache_from_source)
       89    0.001    0.000    0.032    0.000 __init__.py:330(_compile)
      253    0.001    0.000    0.001    0.000 response.py:399(get)
      192    0.001    0.000    0.001    0.000 _compiler.py:389(_mk_bitmap)
      294    0.001    0.000    0.001    0.000 _collections.py:257(__getitem__)
        1    0.001    0.001    0.001    0.001 {method '_wrap_socket' of '_ssl._SSLContext' objects}
     2285    0.001    0.000    0.001    0.000 _parser.py:163(__len__)
      186    0.001    0.000    0.016    0.000 <frozen importlib._bootstrap_external>:1523(_get_spec)
    191/2    0.001    0.000    0.208    0.104 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
      170    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
       51    0.001    0.000    0.001    0.000 {built-in method builtins.compile}
       10    0.001    0.000    0.003    0.000 enum.py:898(_convert_)
     3479    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
     2065    0.000    0.000    0.001    0.000 {built-in method builtins.getattr}
    170/2    0.000    0.000    0.207    0.104 <frozen importlib._bootstrap>:911(_load_unlocked)
      428    0.000    0.000    0.001    0.000 _compiler.py:214(_compile_charset)
     1386    0.000    0.000    0.000    0.000 {method 'lower' of 'str' objects}
      210    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
      255    0.000    0.000    0.170    0.001 response.py:1227(stream)
     1469    0.000    0.000    0.001    0.000 _parser.py:292(tell)
      334    0.000    0.000    0.597    0.002 ssl.py:1129(read)
     1304    0.000    0.000    0.001    0.000 _parser.py:175(append)
      142    0.000    0.000    0.000    0.000 {method '__exit__' of '_io._IOBase' objects}
       41    0.000    0.000    0.148    0.004 response.py:1009(_raw_read)
      166    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:834(spec_from_file_location)
      134    0.000    0.000    0.001    0.000 typing.py:173(_type_check)
      992    0.000    0.000    0.001    0.000 {built-in method builtins.setattr}
      210    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:74(__new__)
     1340    0.000    0.000    0.000    0.000 {method 'rpartition' of 'str' objects}
      292    0.000    0.000    0.015    0.000 response.py:619(_decode)
